Age,Gender,Location,EducationLevel,ClickThroughRate,Impressions,EngagementTime,BounceRate,AdType,ContentTopic,AdSize,PurchaseHistory,BrowsingBehavior,SiteNavigationPatterns,TimeOfDay,DeviceUsed,InternetBrowser,,time of the day,,browser behaviour
25,Female,Glasgow,Secondary,0.986622321,1127,82,0.30817969,Video,Food,Small,Medium,Moderate,Moderate,Night,Tablet,Safari,,,,
42,Other,London,Secondary,0.296126727,2158,128,0.001772386,Video,Sports,Small,High,Frequent,Complex,Evening,Desktop,Chrome,,,,
33,Other,Glasgow,Secondary,0.351468708,6532,227,0.579414242,Image,Fashion,Large,Medium,Rare,Moderate,Afternoon,Tablet,Safari,,,,
59,Male,Birmingham,Secondary,0.51180656,9465,121,0.99947825,Image,Travel,Large,Medium,Frequent,Complex,Night,Desktop,Chrome,,,,
36,Female,Leeds,Secondary,0.008187289,4109,232,0.590099498,Text,Travel,Large,None,Moderate,Complex,Night,Mobile,Chrome,,,,
58,Other,London,Secondary,0.174836563,7378,129,0.610072929,Text,Travel,Small,Low,Rare,Complex,Morning,Desktop,Edge,,,,
33,Female,Manchester,Secondary,0.936059021,9669,9,0.327726613,Video,Fashion,Large,Low,Frequent,Moderate,Night,Mobile,Safari,,,,
29,Female,Leeds,Secondary,0.029435237,4421,208,0.237032546,Image,Technology,Small,Medium,Frequent,Moderate,Morning,Mobile,Edge,,,,
56,Female,Manchester,Post-secondary,0.10097628,3376,183,0.508156572,Image,Fashion,Small,None,Frequent,Complex,Afternoon,Tablet,Safari,,,,
47,Male,London,Secondary,0.420647017,8856,83,0.899786167,Image,Technology,Large,Medium,Frequent,Moderate,Afternoon,Mobile,Firefox,,,,
19,Other,Manchester,Post-secondary,0.731450249,2638,180,0.009751104,Video,Technology,Medium,Low,Rare,Moderate,Morning,Mobile,Edge,,,,
49,Male,Leeds,Post-secondary,0.26887823,5911,175,0.569650842,Image,Sports,Medium,None,Rare,Moderate,Afternoon,Desktop,Opera,,,,
62,Female,Glasgow,Secondary,0.305965591,2496,33,0.428511071,Text,Technology,Small,High,Rare,Simple,Morning,Desktop,Chrome,,,,
42,Other,London,Secondary,0.30547298,7029,89,0.621179306,Text,Fashion,Medium,None,Rare,Moderate,Night,Mobile,Opera,,,,
42,Male,Glasgow,Secondary,0.872601927,9202,229,0.839958026,Video,Technology,Medium,High,Rare,Simple,Afternoon,Desktop,Safari,,,,
21,Other,Glasgow,Post-secondary,0.226097606,113,129,0.449043913,Video,Fashion,Medium,Low,Rare,Simple,Afternoon,Desktop,Firefox,,,,
36,Male,Glasgow,Secondary,0.562401826,3962,245,0.217682782,Video,Travel,Medium,Medium,Moderate,Simple,Afternoon,Tablet,Opera,,,,
21,Female,Leeds,Secondary,0.999931147,3416,234,0.376606987,Video,Sports,Medium,Medium,Moderate,Simple,Evening,Mobile,Firefox,,,,
60,Other,Birmingham,Secondary,0.728465495,7201,178,0.150551372,Image,Technology,Medium,High,Rare,Simple,Afternoon,Tablet,Opera,,,,
30,Female,Glasgow,Secondary,0.336350655,7612,263,0.084899214,Text,Travel,Medium,Low,Rare,Moderate,Evening,Desktop,Edge,,,,
56,Female,Birmingham,Post-secondary,0.76545897,6658,32,0.375876349,Image,Travel,Large,None,Rare,Moderate,Evening,Tablet,Chrome,,,,
53,Other,London,Secondary,0.953915707,9198,295,0.62569855,Image,Fashion,Medium,None,Moderate,Complex,Evening,Tablet,Opera,,,,
40,Other,Manchester,Secondary,0.373537807,4839,285,0.262835336,Text,Travel,Small,None,Rare,Complex,Afternoon,Mobile,Safari,,,,
23,Male,Glasgow,Secondary,0.70801124,9301,175,0.915684159,Image,Travel,Medium,None,Rare,Complex,Night,Mobile,Edge,,,,
41,Male,Birmingham,Secondary,0.075804263,7300,50,0.688951299,Video,Technology,Medium,High,Moderate,Moderate,Evening,Tablet,Opera,,,,
61,Female,London,Secondary,0.895296837,7819,207,0.686313453,Image,Food,Small,None,Rare,Moderate,Morning,Tablet,Edge,,,,
50,Male,Leeds,Secondary,0.096256725,9700,17,0.691710685,Video,Technology,Large,None,Frequent,Moderate,Morning,Mobile,Firefox,,,,
29,Other,London,Post-secondary,0.372925096,5970,9,0.001684498,Image,Food,Small,Low,Moderate,Moderate,Afternoon,Tablet,Firefox,,,,
58,Other,Leeds,Secondary,0.542505843,9852,251,0.813006753,Video,Travel,Small,Medium,Moderate,Simple,Night,Mobile,Opera,,,,
38,Other,Manchester,Secondary,0.263577642,8632,230,0.917608628,Video,Food,Medium,High,Moderate,Complex,Evening,Mobile,Firefox,,,,
28,Female,Manchester,Post-secondary,0.649269326,830,105,0.019397984,Image,Travel,Large,None,Moderate,Complex,Morning,Mobile,Safari,,,,
61,Male,Birmingham,Post-secondary,0.554428727,9662,169,0.59829399,Text,Technology,Small,High,Moderate,Simple,Night,Tablet,Edge,,,,
55,Male,Leeds,Secondary,0.71718524,5645,98,0.67657577,Text,Fashion,Large,High,Moderate,Moderate,Morning,Tablet,Opera,,,,
46,Male,Leeds,Post-secondary,0.354139365,4419,171,0.196242581,Image,Food,Small,Medium,Moderate,Complex,Afternoon,Mobile,Opera,,,,
58,Male,Manchester,Secondary,0.54601389,1388,47,0.838211263,Image,Sports,Medium,High,Moderate,Simple,Evening,Tablet,Opera,,,,
20,Male,London,Secondary,0.8121854,4629,296,0.625831414,Video,Fashion,Medium,Medium,Moderate,Complex,Morning,Mobile,Edge,,,,
45,Male,London,Secondary,0.810696346,7653,63,0.225055073,Image,Food,Small,Medium,Rare,Complex,Afternoon,Mobile,Edge,,,,
37,Male,Birmingham,Secondary,0.714239975,1332,209,0.967190117,Text,Travel,Large,Low,Frequent,Moderate,Night,Tablet,Edge,,,,
43,Female,Manchester,Secondary,0.54193589,5304,26,0.215865625,Image,Travel,Small,None,Frequent,Moderate,Afternoon,Tablet,Safari,,,,
41,Male,Manchester,Secondary,0.673261101,5868,75,0.678587807,Image,Travel,Large,None,Frequent,Moderate,Morning,Mobile,Firefox,,,,
64,Male,Glasgow,Secondary,0.08688029,2440,145,0.473889779,Text,Travel,Large,Medium,Rare,Moderate,Evening,Desktop,Safari,,,,
38,Male,Birmingham,Post-secondary,0.471317201,1823,199,0.723284823,Text,Travel,Large,None,Frequent,Simple,Afternoon,Desktop,Chrome,,,,
47,Female,Manchester,Secondary,0.8601435,8527,156,0.097759124,Text,Technology,Small,None,Moderate,Simple,Morning,Mobile,Safari,,,,
21,Male,Glasgow,Secondary,0.607364822,4304,246,0.952545256,Text,Food,Small,Medium,Rare,Simple,Afternoon,Mobile,Firefox,,,,
53,Female,Leeds,Post-secondary,0.941683106,9587,208,0.204489031,Image,Fashion,Small,Medium,Rare,Moderate,Night,Tablet,Edge,,,,
57,Female,Glasgow,Post-secondary,0.262178521,3837,59,0.220383939,Image,Food,Medium,Medium,Moderate,Complex,Afternoon,Mobile,Firefox,,,,
27,Female,Manchester,Post-secondary,0.096301802,5986,109,0.554028535,Video,Food,Small,High,Rare,Complex,Morning,Tablet,Safari,,,,
27,Other,London,Secondary,0.626613436,2966,231,0.349733263,Text,Technology,Small,High,Moderate,Simple,Afternoon,Desktop,Edge,,,,
59,Male,Birmingham,Secondary,0.09092593,402,86,0.442129686,Image,Technology,Medium,None,Moderate,Moderate,Morning,Desktop,Edge,,,,
41,Other,Leeds,Secondary,0.782135363,8422,73,0.037098497,Image,Travel,Large,None,Rare,Simple,Afternoon,Mobile,Chrome,,,,
21,Male,London,Secondary,0.256742408,3333,159,0.234884445,Text,Travel,Medium,None,Rare,Moderate,Afternoon,Mobile,Chrome,,,,
64,Female,Birmingham,Secondary,0.538751858,4672,45,0.773533117,Text,Food,Large,High,Moderate,Moderate,Morning,Tablet,Opera,,,,
44,Female,Leeds,Post-secondary,0.81137704,4798,268,0.902215154,Image,Technology,Small,Low,Frequent,Moderate,Afternoon,Desktop,Edge,,,,
62,Male,Leeds,Secondary,0.788035369,7949,135,0.233477443,Image,Fashion,Small,Medium,Moderate,Moderate,Night,Tablet,Safari,,,,
21,Male,Manchester,Post-secondary,0.495975027,1534,103,0.773349,Image,Food,Medium,High,Moderate,Moderate,Morning,Desktop,Opera,,,,
49,Female,Glasgow,Post-secondary,0.975846413,3628,102,0.028946693,Image,Technology,Small,Low,Moderate,Complex,Evening,Tablet,Opera,,,,
27,Male,London,Secondary,0.497633157,511,176,0.04472428,Image,Food,Medium,None,Rare,Complex,Evening,Mobile,Firefox,,,,
28,Male,Glasgow,Secondary,0.278791417,7418,290,0.393009218,Text,Technology,Small,None,Frequent,Moderate,Morning,Desktop,Opera,,,,
45,Other,Manchester,Secondary,0.302431245,3388,241,0.147911146,Text,Food,Large,Low,Rare,Complex,Evening,Mobile,Firefox,,,,
63,Female,Manchester,Post-secondary,0.743642724,8656,246,0.166138569,Video,Fashion,Small,Low,Frequent,Complex,Morning,Mobile,Chrome,,,,
25,Other,London,Secondary,0.437107039,6072,207,0.627397025,Text,Technology,Small,High,Frequent,Complex,Night,Mobile,Edge,,,,
57,Female,Leeds,Secondary,0.418788485,7513,209,0.858164269,Video,Sports,Small,Low,Rare,Complex,Evening,Mobile,Chrome,,,,
39,Other,Birmingham,Secondary,0.020486595,9968,19,0.778967242,Image,Travel,Medium,None,Frequent,Simple,Evening,Mobile,Firefox,,,,
51,Male,Leeds,Secondary,0.30527816,7515,163,0.336493808,Image,Technology,Medium,Medium,Rare,Complex,Afternoon,Desktop,Edge,,,,
62,Male,Glasgow,Secondary,0.86038308,6990,211,0.875215967,Text,Food,Medium,Low,Frequent,Moderate,Morning,Desktop,Edge,,,,
52,Female,London,Post-secondary,0.803504498,4416,246,0.84134592,Text,Travel,Small,Low,Moderate,Simple,Evening,Desktop,Edge,,,,
52,Female,Manchester,Post-secondary,0.74651086,8229,74,0.524211697,Image,Food,Small,None,Rare,Moderate,Afternoon,Mobile,Opera,,,,
42,Female,Leeds,Secondary,0.023128387,8361,246,0.475876063,Image,Technology,Medium,Low,Moderate,Simple,Afternoon,Tablet,Chrome,,,,
51,Other,London,Secondary,0.026990291,1296,113,0.058462419,Image,Food,Small,Low,Moderate,Simple,Morning,Tablet,Chrome,,,,
23,Female,Birmingham,Secondary,0.311464959,1749,149,0.15052507,Image,Technology,Large,Low,Rare,Simple,Morning,Mobile,Chrome,,,,
58,Male,Manchester,Secondary,0.474453272,1884,259,0.0854132,Text,Technology,Medium,None,Rare,Moderate,Morning,Desktop,Opera,,,,
54,Female,Leeds,Secondary,0.909741268,8784,268,0.526772502,Image,Travel,Large,High,Rare,Simple,Evening,Mobile,Opera,,,,
18,Male,Manchester,Secondary,0.384629816,6366,152,0.676638496,Text,Technology,Small,High,Rare,Simple,Night,Tablet,Opera,,,,
29,Other,Glasgow,Secondary,0.288525003,3540,263,0.61878201,Video,Fashion,Large,High,Rare,Complex,Night,Desktop,Edge,,,,
52,Male,Birmingham,Secondary,0.571152968,5598,165,0.872885244,Image,Sports,Large,High,Rare,Complex,Afternoon,Mobile,Chrome,,,,
23,Male,Birmingham,Post-secondary,0.9146943,514,104,0.658702404,Image,Fashion,Medium,None,Frequent,Moderate,Afternoon,Mobile,Edge,,,,
34,Other,Birmingham,Secondary,0.738638711,8580,151,0.829707691,Video,Technology,Small,None,Rare,Complex,Morning,Desktop,Edge,,,,
26,Male,Glasgow,Post-secondary,0.856666282,1465,56,0.140425185,Text,Sports,Large,None,Rare,Moderate,Night,Desktop,Firefox,,,,
19,Other,Leeds,Secondary,0.182197645,4057,52,0.171648075,Video,Food,Small,Low,Frequent,Moderate,Afternoon,Tablet,Firefox,,,,
35,Other,Leeds,Post-secondary,0.125664445,8120,66,0.918412278,Video,Food,Large,Low,Moderate,Simple,Morning,Desktop,Chrome,,,,
53,Other,Leeds,Secondary,0.544071134,5557,187,0.354704682,Image,Fashion,Small,Medium,Rare,Simple,Evening,Desktop,Edge,,,,
45,Male,Leeds,Secondary,0.697370826,3317,270,0.216998767,Text,Travel,Small,Low,Moderate,Simple,Night,Tablet,Firefox,,,,
58,Other,Leeds,Secondary,0.954988048,7599,175,0.912069235,Image,Sports,Small,Low,Frequent,Moderate,Evening,Desktop,Safari,,,,
54,Female,London,Post-secondary,0.371534408,4598,26,0.970104524,Image,Sports,Small,None,Moderate,Moderate,Afternoon,Tablet,Opera,,,,
43,Male,Glasgow,Post-secondary,0.346556852,6109,268,0.637769646,Text,Travel,Large,Medium,Moderate,Simple,Afternoon,Desktop,Safari,,,,
21,Male,Birmingham,Secondary,0.515854298,5022,78,0.388338601,Image,Food,Medium,Low,Rare,Complex,Night,Desktop,Chrome,,,,
57,Female,Leeds,Post-secondary,0.684937937,7622,116,0.688385755,Image,Technology,Small,None,Moderate,Simple,Morning,Mobile,Safari,,,,
53,Female,Leeds,Post-secondary,0.566023777,8663,222,0.015557877,Image,Food,Large,None,Frequent,Complex,Morning,Tablet,Edge,,,,
48,Female,Birmingham,Secondary,0.723030693,9261,204,0.144712287,Video,Technology,Large,None,Moderate,Complex,Morning,Desktop,Chrome,,,,
47,Female,Birmingham,Post-secondary,0.380314937,4131,265,0.368714444,Text,Food,Large,Low,Rare,Simple,Afternoon,Tablet,Firefox,,,,
51,Other,London,Secondary,0.86219763,5197,118,0.832224501,Text,Sports,Medium,Medium,Rare,Simple,Evening,Desktop,Firefox,,,,
36,Male,Glasgow,Secondary,0.182975594,5783,216,0.304315906,Text,Sports,Large,High,Moderate,Simple,Evening,Desktop,Chrome,,,,
35,Male,Manchester,Secondary,0.315904643,5896,206,0.057871892,Image,Technology,Medium,Low,Frequent,Simple,Evening,Tablet,Opera,,,,
47,Female,London,Secondary,0.773677664,788,224,0.378735273,Image,Food,Large,None,Rare,Simple,Afternoon,Desktop,Safari,,,,
38,Other,Manchester,Secondary,0.335672254,8517,153,0.241254152,Text,Technology,Medium,High,Frequent,Moderate,Afternoon,Mobile,Firefox,,,,
20,Other,London,Secondary,0.668154602,4591,274,0.056059938,Video,Technology,Small,Low,Rare,Simple,Evening,Mobile,Firefox,,,,
23,Female,Glasgow,Secondary,0.287797609,9810,229,0.398924258,Text,Food,Medium,Medium,Moderate,Complex,Night,Mobile,Opera,,,,
55,Female,Glasgow,Post-secondary,0.187104342,4613,148,0.351421392,Text,Technology,Medium,Medium,Frequent,Moderate,Afternoon,Mobile,Safari,,,,
30,Female,Manchester,Secondary,0.300732564,8258,127,0.733839981,Image,Technology,Medium,Medium,Rare,Simple,Morning,Mobile,Safari,,,,
62,Female,Leeds,Post-secondary,0.886993297,9682,183,0.063204821,Image,Food,Medium,Medium,Frequent,Simple,Afternoon,Desktop,Chrome,,,,
20,Other,Leeds,Post-secondary,0.460883129,2819,58,0.379054446,Image,Fashion,Large,Low,Frequent,Simple,Afternoon,Mobile,Chrome,,,,
45,Male,Leeds,Secondary,0.225415154,5435,209,0.342433523,Video,Fashion,Medium,None,Frequent,Complex,Night,Tablet,Firefox,,,,
39,Other,Manchester,Secondary,0.321438589,4003,175,0.646821525,Image,Travel,Large,Low,Moderate,Complex,Morning,Tablet,Firefox,,,,
57,Male,Leeds,Secondary,0.002770957,3705,138,0.887920771,Video,Fashion,Medium,Low,Moderate,Complex,Afternoon,Mobile,Edge,,,,
57,Male,Birmingham,Secondary,0.755808288,766,117,0.14298979,Text,Food,Large,Medium,Moderate,Simple,Afternoon,Mobile,Chrome,,,,
29,Male,Birmingham,Secondary,0.225677452,7496,65,0.816253751,Image,Technology,Medium,None,Frequent,Complex,Morning,Tablet,Chrome,,,,
40,Other,Glasgow,Post-secondary,0.59792104,2642,291,0.609723403,Text,Food,Small,High,Moderate,Complex,Evening,Mobile,Edge,,,,
48,Female,Manchester,Secondary,0.025109538,6253,140,0.029242694,Image,Sports,Small,Low,Rare,Complex,Evening,Tablet,Opera,,,,
35,Female,Leeds,Secondary,0.834498432,935,217,0.766888679,Text,Food,Medium,Medium,Moderate,Moderate,Afternoon,Desktop,Opera,,,,
24,Other,Birmingham,Secondary,0.187444754,7525,295,0.537688033,Video,Fashion,Medium,High,Frequent,Moderate,Evening,Desktop,Edge,,,,
25,Other,Leeds,Post-secondary,0.004768378,7814,31,0.799928825,Text,Travel,Medium,Medium,Rare,Moderate,Morning,Tablet,Safari,,,,
36,Male,London,Secondary,0.301187808,1093,87,0.408868033,Image,Technology,Medium,Low,Rare,Moderate,Morning,Tablet,Chrome,,,,
46,Other,Leeds,Secondary,0.920487119,7187,150,0.665502794,Text,Technology,Small,High,Rare,Complex,Evening,Desktop,Safari,,,,
61,Male,Glasgow,Post-secondary,0.262614218,2158,197,0.198804205,Video,Fashion,Medium,High,Frequent,Moderate,Night,Tablet,Safari,,,,
37,Other,London,Secondary,0.503478838,1373,115,0.191844575,Image,Travel,Small,High,Frequent,Simple,Evening,Mobile,Opera,,,,
59,Female,Manchester,Secondary,0.407229844,3818,194,0.340262408,Text,Sports,Large,High,Frequent,Moderate,Night,Desktop,Firefox,,,,
47,Female,Leeds,Secondary,0.294249258,617,59,0.519440506,Image,Travel,Small,Low,Moderate,Complex,Afternoon,Mobile,Safari,,,,
64,Female,Leeds,Post-secondary,0.927353579,2446,137,0.716526791,Video,Travel,Medium,None,Frequent,Complex,Afternoon,Mobile,Firefox,,,,
39,Other,London,Post-secondary,0.788994908,8490,61,0.666804823,Image,Fashion,Large,None,Rare,Complex,Afternoon,Tablet,Opera,,,,
27,Male,Glasgow,Secondary,0.761913315,7373,222,0.821344563,Text,Travel,Small,Low,Frequent,Simple,Evening,Desktop,Chrome,,,,
43,Female,Glasgow,Secondary,0.526107124,1802,230,0.426396916,Image,Technology,Small,None,Rare,Complex,Evening,Desktop,Edge,,,,
50,Male,Glasgow,Secondary,0.824861674,2665,231,0.912529254,Video,Travel,Medium,Medium,Frequent,Moderate,Night,Tablet,Firefox,,,,
45,Female,Manchester,Post-secondary,0.458428658,5536,140,0.109167724,Video,Fashion,Large,Low,Rare,Simple,Evening,Tablet,Chrome,,,,
27,Male,London,Secondary,0.46518955,2818,176,0.187203309,Text,Travel,Small,Medium,Rare,Moderate,Night,Mobile,Firefox,,,,
46,Other,Birmingham,Secondary,0.493774063,4767,197,0.683717575,Image,Travel,Large,Low,Rare,Complex,Evening,Desktop,Opera,,,,
61,Other,Manchester,Secondary,0.236910225,8300,6,0.25377268,Image,Technology,Medium,None,Rare,Complex,Evening,Mobile,Chrome,,,,
35,Male,Glasgow,Post-secondary,0.923651859,5411,234,0.164590546,Video,Technology,Medium,None,Moderate,Moderate,Night,Desktop,Chrome,,,,
59,Other,Glasgow,Secondary,0.258750675,7477,160,0.886493745,Video,Fashion,Medium,Medium,Moderate,Simple,Afternoon,Tablet,Chrome,,,,
18,Male,Leeds,Secondary,0.1981595,8667,176,0.068400846,Text,Food,Medium,High,Moderate,Complex,Night,Tablet,Edge,,,,
40,Other,Manchester,Secondary,0.243751793,1722,276,0.991471107,Video,Technology,Medium,None,Frequent,Complex,Morning,Tablet,Safari,,,,
34,Other,London,Secondary,0.817352117,2648,14,0.862589311,Video,Fashion,Large,Medium,Rare,Moderate,Night,Mobile,Chrome,,,,
60,Male,Glasgow,Secondary,0.768545638,4034,285,0.868257747,Image,Travel,Large,Low,Frequent,Complex,Evening,Desktop,Chrome,,,,
54,Female,Birmingham,Secondary,0.427106808,4202,94,0.628713063,Image,Technology,Large,None,Rare,Moderate,Evening,Desktop,Firefox,,,,
48,Female,Leeds,Secondary,0.013781905,7290,247,0.22485568,Text,Sports,Medium,High,Rare,Simple,Morning,Desktop,Opera,,,,
42,Female,London,Secondary,0.975735033,2158,179,0.798091555,Image,Fashion,Large,None,Moderate,Complex,Afternoon,Desktop,Edge,,,,
21,Male,London,Secondary,0.132530977,4864,50,0.053800565,Text,Sports,Medium,None,Moderate,Moderate,Evening,Desktop,Safari,,,,
26,Female,London,Secondary,0.851422677,9812,70,0.582115345,Text,Technology,Large,Medium,Frequent,Simple,Evening,Desktop,Chrome,,,,
45,Other,Leeds,Post-secondary,0.781723087,5303,205,0.439159635,Image,Sports,Medium,None,Frequent,Moderate,Afternoon,Tablet,Edge,,,,
47,Female,Birmingham,Secondary,0.938075782,6615,212,0.750406832,Video,Food,Large,High,Moderate,Simple,Morning,Mobile,Chrome,,,,
64,Other,Glasgow,Secondary,0.773398539,4375,157,0.023768132,Text,Technology,Large,Low,Rare,Moderate,Afternoon,Mobile,Edge,,,,
41,Female,Leeds,Post-secondary,0.331371591,6487,130,0.386785504,Image,Travel,Small,None,Rare,Simple,Night,Mobile,Chrome,,,,
50,Female,Leeds,Post-secondary,0.231914043,3778,122,0.477094402,Video,Fashion,Small,Low,Frequent,Moderate,Night,Mobile,Safari,,,,
37,Male,Birmingham,Secondary,0.37769082,4322,13,0.152359225,Text,Sports,Small,High,Frequent,Moderate,Evening,Tablet,Firefox,,,,
26,Other,London,Secondary,0.203087171,9599,126,0.414720187,Text,Food,Medium,Medium,Frequent,Complex,Night,Mobile,Edge,,,,
25,Other,Glasgow,Secondary,0.719574748,8339,89,0.910477686,Text,Sports,Large,None,Moderate,Complex,Afternoon,Desktop,Chrome,,,,
41,Other,Manchester,Secondary,0.826518632,1054,11,0.468634224,Image,Technology,Large,None,Frequent,Moderate,Night,Mobile,Firefox,,,,
31,Female,London,Post-secondary,0.646438892,5058,233,0.251776178,Video,Sports,Small,Medium,Rare,Simple,Evening,Desktop,Safari,,,,
35,Female,London,Secondary,0.186092731,1260,159,0.532335061,Text,Fashion,Small,None,Rare,Complex,Night,Mobile,Firefox,,,,
18,Male,Birmingham,Secondary,0.037384711,1777,245,0.060842435,Video,Sports,Small,Low,Moderate,Simple,Afternoon,Mobile,Safari,,,,
29,Male,Manchester,Secondary,0.580401267,5514,84,0.294268543,Image,Sports,Large,High,Rare,Complex,Evening,Desktop,Firefox,,,,
46,Male,Glasgow,Post-secondary,0.462673105,8970,12,0.783636742,Video,Travel,Large,Low,Rare,Simple,Morning,Desktop,Firefox,,,,
54,Female,Glasgow,Post-secondary,0.199703928,910,289,0.64191425,Video,Food,Large,None,Rare,Simple,Evening,Tablet,Edge,,,,
43,Male,Glasgow,Secondary,0.368083902,5002,277,0.023984852,Image,Sports,Large,High,Frequent,Moderate,Morning,Desktop,Safari,,,,
50,Other,Birmingham,Secondary,0.541466256,8729,162,0.569875999,Image,Travel,Medium,High,Rare,Complex,Morning,Mobile,Firefox,,,,
60,Male,Manchester,Post-secondary,0.632917112,1490,134,0.21734008,Image,Sports,Large,Medium,Rare,Complex,Morning,Mobile,Chrome,,,,
32,Female,Manchester,Secondary,0.476643778,1750,162,0.975749816,Text,Sports,Medium,High,Rare,Complex,Night,Mobile,Opera,,,,
40,Male,London,Post-secondary,0.971392822,1541,179,0.783686996,Text,Food,Small,None,Moderate,Simple,Morning,Mobile,Firefox,,,,
46,Other,Leeds,Secondary,0.0462264,8380,99,0.127908099,Image,Sports,Small,Low,Rare,Simple,Morning,Mobile,Opera,,,,
38,Other,Manchester,Post-secondary,0.658207913,3897,93,0.385545678,Image,Food,Large,Medium,Frequent,Complex,Evening,Mobile,Safari,,,,
36,Other,Glasgow,Secondary,0.909557902,6497,92,0.489969632,Image,Sports,Medium,High,Rare,Moderate,Afternoon,Desktop,Safari,,,,
22,Female,Glasgow,Secondary,0.236564211,5874,52,0.182371714,Video,Food,Medium,None,Rare,Moderate,Evening,Desktop,Chrome,,,,
40,Other,Leeds,Secondary,0.213707188,9677,47,0.704283853,Video,Sports,Medium,Medium,Frequent,Moderate,Evening,Desktop,Edge,,,,
53,Male,Leeds,Secondary,0.762232807,2229,155,0.84137876,Image,Food,Large,None,Moderate,Moderate,Afternoon,Mobile,Edge,,,,
37,Male,London,Post-secondary,0.486373794,1059,237,0.004464595,Image,Technology,Small,Medium,Rare,Simple,Afternoon,Tablet,Edge,,,,
25,Other,London,Post-secondary,0.992177507,5616,37,0.133223388,Text,Sports,Medium,Medium,Moderate,Moderate,Afternoon,Tablet,Edge,,,,
26,Female,Birmingham,Secondary,0.58912362,650,225,0.283462839,Video,Travel,Large,High,Rare,Moderate,Evening,Desktop,Edge,,,,
31,Other,Glasgow,Secondary,0.923441933,6721,64,0.984110228,Text,Sports,Medium,Low,Rare,Moderate,Morning,Mobile,Edge,,,,
23,Male,Birmingham,Post-secondary,0.01221052,8119,161,0.404527879,Image,Sports,Small,None,Moderate,Simple,Night,Tablet,Edge,,,,
18,Male,Glasgow,Post-secondary,0.15453962,5763,143,0.170251963,Video,Travel,Medium,High,Frequent,Simple,Afternoon,Tablet,Safari,,,,
26,Other,Birmingham,Secondary,0.684419045,5197,282,0.120927118,Video,Sports,Small,Low,Moderate,Simple,Morning,Mobile,Chrome,,,,
33,Female,London,Secondary,0.41646637,5064,208,0.901356164,Video,Technology,Medium,Medium,Rare,Moderate,Evening,Tablet,Safari,,,,
33,Male,Manchester,Secondary,0.835964569,1967,142,0.810244084,Video,Travel,Small,Medium,Moderate,Moderate,Morning,Tablet,Firefox,,,,
29,Female,Leeds,Secondary,0.428898093,6251,29,0.619300607,Image,Travel,Large,None,Rare,Complex,Night,Desktop,Firefox,,,,
22,Other,Glasgow,Secondary,0.712996696,1193,275,0.539695657,Text,Food,Large,None,Rare,Simple,Afternoon,Tablet,Edge,,,,
57,Male,London,Secondary,0.566160017,433,292,0.777153762,Video,Food,Medium,High,Moderate,Simple,Afternoon,Tablet,Edge,,,,
46,Male,London,Secondary,0.119903567,3654,290,0.318150538,Video,Travel,Small,Medium,Rare,Complex,Evening,Desktop,Safari,,,,
63,Male,London,Post-secondary,0.717951207,530,233,0.639854657,Text,Travel,Large,High,Moderate,Complex,Night,Mobile,Edge,,,,
44,Male,Birmingham,Post-secondary,0.706371801,5252,129,0.736845441,Video,Sports,Medium,None,Frequent,Moderate,Morning,Desktop,Edge,,,,
28,Male,Leeds,Secondary,0.115718151,9856,178,0.575648726,Video,Technology,Large,None,Rare,Simple,Night,Tablet,Edge,,,,
64,Male,London,Secondary,0.561911458,8304,85,0.168731953,Image,Food,Small,None,Frequent,Moderate,Afternoon,Tablet,Safari,,,,
45,Other,Birmingham,Post-secondary,0.335650018,5313,63,0.985904796,Text,Fashion,Medium,Low,Moderate,Moderate,Night,Tablet,Firefox,,,,
53,Male,London,Secondary,0.458849782,7342,266,0.811195562,Text,Sports,Large,Low,Rare,Simple,Night,Mobile,Firefox,,,,
59,Male,Birmingham,Secondary,0.422758693,7246,87,0.490626943,Text,Sports,Small,None,Frequent,Complex,Evening,Mobile,Firefox,,,,
36,Other,Manchester,Secondary,0.104774404,7085,182,0.619970176,Video,Technology,Large,Medium,Moderate,Simple,Evening,Mobile,Opera,,,,
52,Male,Birmingham,Secondary,0.158022986,2453,214,0.760075991,Text,Food,Medium,None,Rare,Simple,Afternoon,Desktop,Opera,,,,
48,Male,Glasgow,Secondary,0.086808616,9823,166,0.458585184,Image,Fashion,Medium,High,Moderate,Simple,Afternoon,Desktop,Chrome,,,,
61,Other,Leeds,Secondary,0.192447014,5239,111,0.739116205,Image,Food,Medium,Medium,Moderate,Moderate,Evening,Tablet,Firefox,,,,
36,Male,Birmingham,Secondary,0.852444386,3386,21,0.772927898,Image,Food,Large,Medium,Rare,Simple,Afternoon,Mobile,Opera,,,,
63,Male,Leeds,Post-secondary,0.024522649,5152,90,0.45900739,Video,Technology,Medium,Low,Moderate,Simple,Night,Tablet,Firefox,,,,
41,Other,Birmingham,Post-secondary,0.43161725,1622,154,0.187768128,Text,Sports,Medium,Medium,Frequent,Simple,Night,Desktop,Edge,,,,
19,Male,Leeds,Post-secondary,0.800936389,4382,287,0.597767079,Video,Technology,Small,Medium,Moderate,Complex,Afternoon,Tablet,Edge,,,,
24,Other,Manchester,Secondary,0.100258205,3424,51,0.554288839,Video,Food,Small,High,Rare,Moderate,Evening,Mobile,Safari,,,,
